utr,bank_credit,transaction_date
ICIC3108265VRRAQCQ1T,3204.3,31-08-26
SBI310826OYTENZV9QW,2929.82,31-08-26
SBI310826X17A8UFEZ3,4718.78,31-08-26
SBI310826PGMI3FVVF0,1715.64,31-08-26
ICIC310826WOZQESOYQG,3017.63,31-08-26
HDFC310826BW1KK6CSXS,3460.92,31-08-26
SBI3108265MZHYCLXOU,4821.23,31-08-26
HDFC310826ZG6QTIJYXZ,623.55,31-08-26
HDFC310826S6HAVCBVTT,4623.53,31-08-26
HDFC310826HKXQAYNRP9,3824.08,31-08-26
SBI3108261ZD2ILKS2H,4429.69,31-08-26
AXIS310826VVDXICK4UR,4858.07,31-08-26
ICIC3108269TRKQDOIWY,2130.08,31-08-26
HDFC3108265XFFN2LI76,3643.39,31-08-26
AXIS310826YVDB6YBJDJ,1161.69,31-08-26
HDFC310826S8YL9FZCWK,573.49,31-08-26
SBI310826POCVPS6OLL,537.78,31-08-26
HDFC310826Z2Z4HPW6F7,2233.57,31-08-26
ICIC310826DKIGB9L23P,3818.24,31-08-26
,2020.77,31-08-26
SBI310826EEAVNXAW2R,2508.86,31-08-26
AXIS310826HWMR0POYBH,1255.41,31-08-26
HDFC310826HL5M98OPNB,2932.35,31-08-26
AXIS310826M2BQVP6M1X,2873.74,31-08-26
,2698.61,31-08-26
ICIC310826ZJZ70QV7IF,1428.74,31-08-26
SBI310826BG5BOZISEV,827.44,31-08-26
SBI310826O3WSW0SNK9,959.5,31-08-26
ICIC3108262JZK3HP4ZD,4640.35,31-08-26
AXIS310826YFPHPXR0D9,2858.35,31-08-26
ICIC310826RMHSZLCRSB,2579.6,31-08-26
,4631.79,31-08-26
SBI310826GKBD9EK1VE,492.09,31-08-26
HDFC310826JOPLRK7VIF,1972.38,31-08-26
HDFC310826B1KZM80AXR,3585.89,31-08-26
ICIC310826KSWEDH3BIT,942.78,31-08-26
HDFC310826XGD1HP16Q6,723.46,31-08-26
SBI3108268NTA33XFAG,2761.66,31-08-26
ICIC310826A8XNAGZSWJ,774.09,31-08-26
SBI310826TXFUSODDFE,3316.01,31-08-26
HDFC31082694WZADHGIT,3226.16,31-08-26
SBI310826N2VNOWD9QL,4517.64,31-08-26
SBI310826S4NRXU7JN1,4681.4,31-08-26
HDFC310826N55TCDR0A3,3311.2,31-08-26
ICIC310826SFZS4IW9HK,581.71,31-08-26
HDFC310826E526RNR6SJ,4322.17,31-08-26
ICIC3108260KCWRA94OZ,3997.19,31-08-26
AXIS310826GUWC47U58O,4781.13,31-08-26
,1526.16,31-08-26
AXIS310826LFFBHZADTH,3933.22,31-08-26
SBI3108267LIDI8YURC,4010.95,31-08-26
HDFC310826T73D7K24LZ,4426.4,31-08-26
SBI310826KBZH4DJ2PE,3812.52,31-08-26
SBI3108265Q320MO6Q4,1429.69,31-08-26
,4010.36,31-08-26
SBI310826F24DUVGSOB,4863.57,31-08-26
ICIC310826OV2H6478ZY,3716.75,31-08-26
AXIS310826FHMKQ87KC4,787.46,31-08-26
AXIS310826S9MT8UQ0JS,3771.71,31-08-26
AXIS310826TYCRNYYS1Z,3087.84,31-08-26
AXIS310826MB8XNVEA9F,4583.98,31-08-26
AXIS310826VZ5SX7IXKW,4172.03,31-08-26
SBI310826SHWMAGNF0M,2649.53,31-08-26
ICIC310826OOT84VDPJ3,549.68,31-08-26
HDFC310826BIWEMY7Y86,1890.4,31-08-26
HDFC3108265PEJ5R5538,4228.61,31-08-26
AXIS310826JN475S5JJF,1058.73,31-08-26
HDFC3108266G0BN98F6I,4690.62,31-08-26
AXIS310826OOWPBKX961,2409.33,31-08-26
AXIS310826200M0OEIBZ,2979.28,31-08-26
SBI310826QPRLSIBP7D,2597.6,31-08-26
HDFC310826EKKE2HOLS4,4454.6,31-08-26
SBI310826X69SCDKVOP,1109.34,31-08-26
SBI310826P6K49HTVV4,1390.77,31-08-26
AXIS3108268FET6JMXEC,2053.1,31-08-26
HDFC3108266O385Z91IH,3086.86,31-08-26
HDFC310826L76YH35DMK,3627.32,31-08-26
HDFC3108266E6T82FUG0,2796.52,31-08-26
HDFC310826RVH9PX3DGR,3393.59,31-08-26
ICIC3108266U0D35W0OY,1599.5,31-08-26
AXIS310826XZUI0H1QZL,2810.47,31-08-26
ICIC310826M9QG00YP3G,710.95,31-08-26
ICIC310826NKLIY7NRQD,3651.5,31-08-26
SBI310826AGJWQVD902,3178.7,31-08-26
ICIC310826R0O9DA9XTT,3197.49,31-08-26
AXIS3108261P0C28PVTV,1810.9,31-08-26
HDFC310826FEDVHNE4UR,3072.54,31-08-26
ICIC310826NE6Q7CX98K,4253.77,31-08-26
HDFC31082665TKBZN3BJ,4092.68,31-08-26
ICIC310826O9S3BOPPOM,2953.72,31-08-26
AXIS310826DE6Y6SEVUZ,954.53,31-08-26
AXIS310826NVGIJ87OBT,3340.98,31-08-26
ICIC310826EBKFZFJ6JO,2660.41,31-08-26
