order_id,internal_amount,transaction_date
order_1000,2641.78,29-08-26
order_1001,1134.55,29-08-26
order_1002,2754.63,29-08-26
order_1003,1642.5,29-08-26
order_1004,4922.97,29-08-26
order_1005,4686.26,29-08-26
order_1006,3527.34,29-08-26
order_1007,1408.1,29-08-26
order_1008,3237.5,29-08-26
order_1009,791.29,29-08-26
order_1010,4407.74,29-08-26
order_1011,2048.42,29-08-26
order_1012,1764.77,29-08-26
order_1013,1079.99,29-08-26
order_1014,3959.13,29-08-26
order_1015,2315.26,29-08-26
order_1016,3401.57,29-08-26
order_1017,3427.58,29-08-26
order_1018,716.53,29-08-26
order_1019,2904.38,29-08-26
order_1020,1809.75,29-08-26
order_1021,1645.37,29-08-26
order_1022,2431.47,29-08-26
order_1023,2448.31,29-08-26
order_1024,929.43,29-08-26
order_1025,4915.53,29-08-26
order_1026,1689.42,29-08-26
order_1027,4702.16,29-08-26
order_1028,1880.86,29-08-26
order_1029,1838.52,29-08-26
order_1030,2067.75,29-08-26
order_1031,2468.3,29-08-26
order_1032,1935.78,29-08-26
order_1033,2765.63,29-08-26
order_1034,4508.68,29-08-26
order_1035,1018.46,29-08-26
order_1036,3342.49,29-08-26
order_1037,4978.47,29-08-26
order_1038,1127.24,29-08-26
order_1039,1573.9,29-08-26
order_1040,623.63,29-08-26
order_1041,2117.2,29-08-26
order_1042,502.67,29-08-26
order_1043,3633.4,29-08-26
order_1044,2005.45,29-08-26
order_1045,2720.98,29-08-26
order_1046,3231.49,29-08-26
order_1047,2550.31,29-08-26
order_1048,1929.8,29-08-26
order_1049,1056.86,29-08-26
order_1050,502.81,29-08-26
order_1051,1921.91,29-08-26
order_1052,2804.47,29-08-26
order_1053,1418.57,29-08-26
order_1054,3862.29,29-08-26
order_1055,4304.95,29-08-26
order_1056,4948.14,29-08-26
order_1057,1617.05,29-08-26
order_1058,1611.34,29-08-26
order_1059,3236.21,29-08-26
order_1060,1538.51,29-08-26
order_1061,873.9,29-08-26
order_1062,3301.4,29-08-26
order_1063,1036.03,29-08-26
order_1064,2225.74,29-08-26
order_1065,4956.05,29-08-26
order_1066,4008.32,29-08-26
order_1067,553.75,29-08-26
order_1068,2578.97,29-08-26
order_1069,2290.67,29-08-26
order_1070,3051.35,29-08-26
order_1071,1684.41,29-08-26
order_1072,1702.96,29-08-26
order_1073,3680.08,29-08-26
order_1074,3683.72,29-08-26
order_1075,3921.75,29-08-26
order_1076,4200.8,29-08-26
order_1077,4904.02,29-08-26
order_1078,3712.73,29-08-26
order_1079,4297.83,29-08-26
order_1080,4574.7,29-08-26
order_1081,804.98,29-08-26
order_1082,1462.34,29-08-26
order_1083,2701.51,29-08-26
order_1084,4421.94,29-08-26
order_1085,3304.76,29-08-26
order_1086,4948.44,29-08-26
order_1087,1291.83,29-08-26
order_1088,912.21,29-08-26
order_1089,4394.42,29-08-26
order_1090,2088.14,29-08-26
order_1091,4624.37,29-08-26
order_1092,4057.7,29-08-26
order_1093,2864.69,29-08-26
order_1094,2778.13,29-08-26
order_1095,3995.51,29-08-26
order_1096,1387.09,29-08-26
order_1097,3831.59,29-08-26
order_1098,883.82,29-08-26
order_1099,3670.19,29-08-26
